ファイル名,学習項目ID,単元,学習項目,問題番号,レベル判定,IRT困難度,推定誤差,識別力(a),主な能力,前提知識,判定理由,基礎レベルと標準レベルの作問方針の違い
m-jh1-A-01-01s.txt,1-A-01-01,正と負の数－正と負,正と負,問題3,標準レベル,46,±10,1.2,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,正と負について、基礎の確認だけでなく複数の判断や計算処理を組み合わせる必要があるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-02b.txt,1-A-01-02,正と負の数－正の数と負の数を量で表す,正の数と負の数を量で表す,問題1,基礎レベル,13,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-02b.txt,1-A-01-02,正と負の数－正の数と負の数を量で表す,正の数と負の数を量で表す,問題2,基礎レベル,17,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-02b.txt,1-A-01-02,正と負の数－正の数と負の数を量で表す,正の数と負の数を量で表す,問題3,基礎レベル,21,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-03b.txt,1-A-01-03,正と負の数－数の大小と不等号,数の大小と不等号,問題1,基礎レベル,16,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-03b.txt,1-A-01-03,正と負の数－数の大小と不等号,数の大小と不等号,問題2,基礎レベル,20,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-03b.txt,1-A-01-03,正と負の数－数の大小と不等号,数の大小と不等号,問題3,基礎レベル,24,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-04b.txt,1-A-01-04,正と負の数－絶対値,絶対値,問題1,基礎レベル,19,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-04b.txt,1-A-01-04,正と負の数－絶対値,絶対値,問題2,基礎レベル,23,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-04b.txt,1-A-01-04,正と負の数－絶対値,絶対値,問題3,基礎レベル,27,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-04b.txt,1-A-01-04,正と負の数－絶対値,絶対値,問題4,基礎レベル,31,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-04b.txt,1-A-01-04,正と負の数－絶対値,絶対値,問題5,基礎レベル,35,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-04b.txt,1-A-01-04,正と負の数－絶対値,絶対値,問題6,基礎レベル,39,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-05b.txt,1-A-01-05,加法と減法－正と負の数の加法,正と負の数の加法,問題1,基礎レベル,22,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-05b.txt,1-A-01-05,加法と減法－正と負の数の加法,正と負の数の加法,問題2,基礎レベル,26,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-05b.txt,1-A-01-05,加法と減法－正と負の数の加法,正と負の数の加法,問題3,基礎レベル,30,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-05b.txt,1-A-01-05,加法と減法－正と負の数の加法,正と負の数の加法,問題4,基礎レベル,34,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-05b.txt,1-A-01-05,加法と減法－正と負の数の加法,正と負の数の加法,問題5,基礎レベル,38,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-05b.txt,1-A-01-05,加法と減法－正と負の数の加法,正と負の数の加法,問題6,基礎レベル,42,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-05b.txt,1-A-01-05,加法と減法－正と負の数の加法,正と負の数の加法,問題7,基礎レベル,46,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-05b.txt,1-A-01-05,加法と減法－正と負の数の加法,正と負の数の加法,問題8,基礎レベル,50,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-05s.txt,1-A-01-05,加法と減法－正と負の数の加法,正と負の数の加法,問題1,標準レベル,75,±10,1.2,正負の加法・項の整理,正負の数・絶対値・通分,正負の加法で、同符号・異符号の判断に加えて小数や分数の処理が入るため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-05s.txt,1-A-01-05,加法と減法－正と負の数の加法,正と負の数の加法,問題2,標準レベル,82,±10,1.2,小数を含む正負の加法,正負の数・絶対値・通分,正負の加法で、同符号・異符号の判断に加えて小数や分数の処理が入るため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-05s.txt,1-A-01-05,加法と減法－正と負の数の加法,正と負の数の加法,問題3,標準レベル,88,±10,1.2,分数を含む正負の加法,正負の数・絶対値・通分,正負の加法で、同符号・異符号の判断に加えて小数や分数の処理が入るため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-06b.txt,1-A-01-06,加法と減法－加法の交換法則・結合法則,加法の交換法則・結合法則,問題1,基礎レベル,25,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-06b.txt,1-A-01-06,加法と減法－加法の交換法則・結合法則,加法の交換法則・結合法則,問題2,基礎レベル,29,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-06b.txt,1-A-01-06,加法と減法－加法の交換法則・結合法則,加法の交換法則・結合法則,問題3,基礎レベル,33,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-06b.txt,1-A-01-06,加法と減法－加法の交換法則・結合法則,加法の交換法則・結合法則,問題4,基礎レベル,37,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-06s.txt,1-A-01-06,加法と減法－加法の交換法則・結合法則,加法の交換法則・結合法則,問題1,標準レベル,80,±10,1.2,交換法則・結合法則の活用,正負の加法・交換法則・結合法則,加法の交換法則・結合法則を使い、計算しやすい組を自分で見つける必要があるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-06s.txt,1-A-01-06,加法と減法－加法の交換法則・結合法則,加法の交換法則・結合法則,問題2,標準レベル,86,±10,1.2,小数の組み合わせ計算,正負の加法・交換法則・結合法則,加法の交換法則・結合法則を使い、計算しやすい組を自分で見つける必要があるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-06s.txt,1-A-01-06,加法と減法－加法の交換法則・結合法則,加法の交換法則・結合法則,問題3,標準レベル,92,±10,1.3,分数の組み合わせ計算,正負の加法・交換法則・結合法則,加法の交換法則・結合法則を使い、計算しやすい組を自分で見つける必要があるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-07b.txt,1-A-01-07,加法と減法－正と負の数の減法,正と負の数の減法,問題1,基礎レベル,28,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-07b.txt,1-A-01-07,加法と減法－正と負の数の減法,正と負の数の減法,問題2,基礎レベル,32,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-07b.txt,1-A-01-07,加法と減法－正と負の数の減法,正と負の数の減法,問題3,基礎レベル,36,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-07b.txt,1-A-01-07,加法と減法－正と負の数の減法,正と負の数の減法,問題4,基礎レベル,40,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-07s.txt,1-A-01-07,加法と減法－正と負の数の減法,正と負の数の減法,問題1,標準レベル,78,±10,1.2,減法から加法への変換,正負の数・減法と加法の関係・通分,減法を加法に直す判断に加えて、小数や分数を含む計算処理が必要になるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-07s.txt,1-A-01-07,加法と減法－正と負の数の減法,正と負の数の減法,問題2,標準レベル,85,±10,1.2,小数を含む減法,正負の数・減法と加法の関係・通分,減法を加法に直す判断に加えて、小数や分数を含む計算処理が必要になるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-07s.txt,1-A-01-07,加法と減法－正と負の数の減法,正と負の数の減法,問題3,標準レベル,92,±10,1.3,分数を含む減法,正負の数・減法と加法の関係・通分,減法を加法に直す判断に加えて、小数や分数を含む計算処理が必要になるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-08b.txt,1-A-01-08,加法と減法－加法と減法の混合,加法と減法の混合,問題1,基礎レベル,31,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-08b.txt,1-A-01-08,加法と減法－加法と減法の混合,加法と減法の混合,問題2,基礎レベル,35,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-08b.txt,1-A-01-08,加法と減法－加法と減法の混合,加法と減法の混合,問題3,基礎レベル,39,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-08b.txt,1-A-01-08,加法と減法－加法と減法の混合,加法と減法の混合,問題4,基礎レベル,43,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-08b.txt,1-A-01-08,加法と減法－加法と減法の混合,加法と減法の混合,問題5,基礎レベル,47,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-08b.txt,1-A-01-08,加法と減法－加法と減法の混合,加法と減法の混合,問題6,基礎レベル,51,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-08b.txt,1-A-01-08,加法と減法－加法と減法の混合,加法と減法の混合,問題7,基礎レベル,55,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-08b.txt,1-A-01-08,加法と減法－加法と減法の混合,加法と減法の混合,問題8,基礎レベル,59,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-08s.txt,1-A-01-08,加法と減法－加法と減法の混合,加法と減法の混合,問題1,標準レベル,90,±10,1.3,加減混合式の項整理,正負の加法・減法・通分,加法と減法が混じる式をすべて加法に直し、項として整理して計算する必要があるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-08s.txt,1-A-01-08,加法と減法－加法と減法の混合,加法と減法の混合,問題2,標準レベル,98,±10,1.3,小数を含む加減混合,正負の加法・減法・通分,加法と減法が混じる式をすべて加法に直し、項として整理して計算する必要があるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-08s.txt,1-A-01-08,加法と減法－加法と減法の混合,加法と減法の混合,問題3,標準レベル,105,±10,1.4,分数を含む加減混合,正負の加法・減法・通分,加法と減法が混じる式をすべて加法に直し、項として整理して計算する必要があるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-09b.txt,1-A-01-09,乗法と除法－正と負の数の乗法,正と負の数の乗法,問題1,基礎レベル,34,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-09b.txt,1-A-01-09,乗法と除法－正と負の数の乗法,正と負の数の乗法,問題2,基礎レベル,38,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-09b.txt,1-A-01-09,乗法と除法－正と負の数の乗法,正と負の数の乗法,問題3,基礎レベル,42,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-09b.txt,1-A-01-09,乗法と除法－正と負の数の乗法,正と負の数の乗法,問題4,基礎レベル,46,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-09b.txt,1-A-01-09,乗法と除法－正と負の数の乗法,正と負の数の乗法,問題5,基礎レベル,50,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-09b.txt,1-A-01-09,乗法と除法－正と負の数の乗法,正と負の数の乗法,問題6,基礎レベル,54,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-09b.txt,1-A-01-09,乗法と除法－正と負の数の乗法,正と負の数の乗法,問題7,基礎レベル,58,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-09s.txt,1-A-01-09,乗法と除法－正と負の数の乗法,正と負の数の乗法,問題1,標準レベル,80,±10,1.2,乗法の符号判断,正負の数・乗法・約分,負の数の個数で符号を判断し、小数や分数を含む乗法まで処理する必要があるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-09s.txt,1-A-01-09,乗法と除法－正と負の数の乗法,正と負の数の乗法,問題2,標準レベル,88,±10,1.2,小数を含む乗法,正負の数・乗法・約分,負の数の個数で符号を判断し、小数や分数を含む乗法まで処理する必要があるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-09s.txt,1-A-01-09,乗法と除法－正と負の数の乗法,正と負の数の乗法,問題3,標準レベル,95,±10,1.3,分数を含む乗法,正負の数・乗法・約分,負の数の個数で符号を判断し、小数や分数を含む乗法まで処理する必要があるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-10b.txt,1-A-01-10,乗法と除法－乗法の交換法則・結合法則,乗法の交換法則・結合法則,問題1,基礎レベル,37,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-10b.txt,1-A-01-10,乗法と除法－乗法の交換法則・結合法則,乗法の交換法則・結合法則,問題2,基礎レベル,41,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-10b.txt,1-A-01-10,乗法と除法－乗法の交換法則・結合法則,乗法の交換法則・結合法則,問題3,基礎レベル,45,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-10b.txt,1-A-01-10,乗法と除法－乗法の交換法則・結合法則,乗法の交換法則・結合法則,問題4,基礎レベル,49,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-10b.txt,1-A-01-10,乗法と除法－乗法の交換法則・結合法則,乗法の交換法則・結合法則,問題5,基礎レベル,53,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-10b.txt,1-A-01-10,乗法と除法－乗法の交換法則・結合法則,乗法の交換法則・結合法則,問題6,基礎レベル,57,±10,1.0,正負の数の符号判断・計算処理,小学校の数・数直線・正負の数,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-10s.txt,1-A-01-10,乗法と除法－乗法の交換法則・結合法則,乗法の交換法則・結合法則,問題1,標準レベル,92,±10,1.3,乗法の工夫・符号判断,正負の乗法・交換法則・結合法則・約分,乗法の交換法則・結合法則を使い、きりのよい組や約分しやすい組を見つける必要があるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-10s.txt,1-A-01-10,乗法と除法－乗法の交換法則・結合法則,乗法の交換法則・結合法則,問題2,標準レベル,100,±10,1.3,小数の結合法則利用,正負の乗法・交換法則・結合法則・約分,乗法の交換法則・結合法則を使い、きりのよい組や約分しやすい組を見つける必要があるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-10s.txt,1-A-01-10,乗法と除法－乗法の交換法則・結合法則,乗法の交換法則・結合法則,問題3,標準レベル,108,±10,1.4,分数の約分と結合法則利用,正負の乗法・交換法則・結合法則・約分,乗法の交換法則・結合法則を使い、きりのよい組や約分しやすい組を見つける必要があるため。,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
m-jh1-A-01-11b.txt,1-A-01-11,乗法と除法－累乗,累乗,問題1,基礎レベル,40,±10,1.0,正負の数の乗除・符号判断,正負の数・乗法・除法・分数計算,,基礎：符号・計算順序・用語を1つずつ確認する単問中心。標準：小数・分数・複数項・計算の工夫を入れ、符号判断と処理を組み合わせる。
